cell type,H4K20me3,LaminB1,H3K27me2,H3K9me3,SF3A66,H3K27me3,RNAPIISer2-P,mH2A1,H3K27ac,H4K16ac,H3K9ac,H3K4me3,KAP1,CPSF6,CBP,BRG1,H3K4me1,H3K36ac,HDAC2,RYBP,CHD4,H4K8ac,H3K4me2,RNAPIISer5-P
Granule,0.07692307692307687,0.08247422680412375,0.11111111111111116,0.22352941176470587,0.34375,0.3866666666666667,0.4307692307692308,0.6,0.6461538461538461,0.6626506024096386,0.7230769230769231,0.7285714285714286,0.7464788732394366,0.8,0.8,0.8153846153846154,0.8243243243243243,0.8266666666666667,0.8484848484848485,0.859375,0.8939393939393939,0.8970588235294118,0.9538461538461538,1.0
Purkinje,0.04705882352941182,0.21666666666666667,0.125,0.0888888888888889,0.07058823529411762,0.28301886792452835,0.44047619047619047,0.36274509803921573,0.6555555555555556,0.6568627450980392,0.696629213483146,0.6436781609195402,0.8571428571428572,0.7613636363636364,0.8478260869565217,0.8241758241758241,0.7252747252747253,0.65625,0.8387096774193549,0.7752808988764045,0.8260869565217391,0.78125,0.9,1.0
MLI1,0.09677419354838712,0.2075471698113207,0.08139534883720934,0.19354838709677424,0.3411764705882353,0.09677419354838712,0.6206896551724138,0.42391304347826086,0.8804347826086957,0.7272727272727273,0.7386363636363636,0.7555555555555555,0.8620689655172413,0.6976744186046512,0.8390804597701149,0.8488372093023255,0.7582417582417582,0.8229166666666666,0.875,0.813953488372093,0.8666666666666667,0.8404255319148937,0.8666666666666667,1.0
MLI2+PLI,0.12790697674418605,0.21621621621621623,0.10465116279069764,0.23076923076923073,0.3125,0.1839080459770115,0.5802469135802469,0.42105263157894735,0.7865168539325843,0.6702127659574468,0.7311827956989247,0.7619047619047619,0.8604651162790697,0.7294117647058824,0.8292682926829268,0.8658536585365854,0.8089887640449438,0.8604651162790697,0.8505747126436781,0.7619047619047619,0.8314606741573034,0.8604651162790697,0.8372093023255813,1.0
Bergmann,0.06818181818181823,0.0337078651685393,0.48888888888888893,0.13186813186813184,0.38372093023255816,0.4204545454545454,0.41860465116279066,0.7045454545454546,0.7701149425287357,0.846938775510204,0.813953488372093,0.6896551724137931,0.8953488372093024,0.6627906976744187,0.7674418604651163,0.7093023255813953,0.8804347826086957,0.8505747126436781,0.8837209302325582,0.6976744186046512,0.7906976744186046,0.9101123595505618,0.875,1.0
