paint name,start,H3pSer10,ATRX,H4K8ac,HDAC2,H3K9ac,H3K9me3,H3K9me2,RNAPIISer2-P,H3,H3K36me2,UBTF,LaminB1,RNAPIISer5-P,RYBP,HP1beta,RING1B,H2A.X,H3K4me1,H4K20me2,H3K27me2,JARID2,SF3A66,CBP,H2AK119u1,EZH2,H3K4me2,BRG1,HP1alpha,Fibrillarin,KAP1,H3K27ac,H3K4me3,H3K36ac,H3K14ac,H4K20me1,HP1gamma,H4K20me3,H3K27me3,mH2A1,CHD4,KAT3B/p300,H3K56ac,H3K36me3,RAD51,SUZ12,H4K16ac,MED1,HDAC1,NANOG,POU5F1,ZSCAN4,MuERVL-Gag,OTX1/OTX2,WHSC2/NELF-A,SOX2,KLF4,BRD4,PCNA,RBAP48,HA-tag,ZMYM2/RAMP,SALL4,CPSF6,CyclinT1,rDNA,LINE1,SINEB1,Telomere,MinSat,E-Cadherin,MajSat,Control,Malat1_RNA,LINE1_RNA,SINEB1_RNA,MERVLP1_RNA,MERVLP2_RNA,TERRA_RNA,18k_intron,ITS1_RNA,Rnu3b_RNA,MajSat_sense_RNA,Rnu2_RNA,MajSat_antisense_RNA,polyA_RNA,n_rad_score,n_per_dist(um),c_rad_score,c_surf_dist(um),c_alpha1_dist(um),trans_score,paint
1204,102825000,0.40912,0.3174599999999999,1.1232,0.99979,0.8596600000000001,0.30776,0.81376,0.6508,0.91128,0.96338,0.012322,0.10767,0.76756,0.88405,0.4647199999999999,0.8314299999999999,0.9128,0.99391,0.7852899999999999,0.93376,0.94968,0.051094,0.79233,0.8299200000000001,0.92639,1.0857,1.0777,0.67276,-0.12393,0.81582,0.97459,0.91916,1.0596,0.97807,0.8269700000000001,0.66145,0.69643,0.6076199999999999,0.9156,0.97064,0.8743,0.93771,0.97065,0.76654,0.42516,1.0549,0.71177,0.97881,0.76932,0.67089,0.52427,0.21043,0.46246,0.67594,0.85365,0.69307,0.6569,0.90154,0.89351,0.37549,0.80587,0.86344,0.82444,0.71418,-0.20976,0.53708,0.62997,-0.1552,-0.23093,-0.1053,-0.38243,0.5208,0.063374,0.041095,0.4724,0.6825,0.6815899999999999,-0.036074,0.60301,-0.34058,-0.3216199999999999,0.36567,0.3387199999999999,0.47351,0.22951,0.7913128886257251,1.3038965678125267,0.7281001631437798,0.4368355077545729,0.2299157647824961,0.5379310344827586,5.3346
1205,104325000,0.1182599999999999,0.069743,0.52961,0.41279,0.37645,0.18173,0.4143,0.18089,0.49053,0.46133,-0.1561799999999999,0.39495,0.26033,0.38265,0.15808,0.58098,0.3894,0.49071,0.52135,0.60569,0.46087,-0.13498,0.28678,0.32516,0.48688,0.4649899999999999,0.44783,0.2702699999999999,-0.23487,0.33692,0.46905,0.38974,0.55769,0.49506,0.37624,0.34814,0.27387,0.30744,0.40685,0.39711,0.27245,0.4904,0.58209,0.42865,0.33049,0.65828,0.41086,0.40502,0.38299,0.46758,0.37028,0.1703,0.38552,0.48677,0.4421199999999999,0.41218,0.2155,0.40085,0.3233,0.32852,0.38193,0.4021699999999999,0.2765,0.34764,-0.21269,0.51053,0.22213,-0.1667,-0.2419599999999999,0.0512409999999999,-0.40919,0.28705,-0.12192,0.002787,0.11235,0.4853399999999999,0.48713,-0.0622919999999999,0.36303,-0.35656,-0.34804,0.2636699999999999,0.006626,0.32568,0.094336,0.8419393043963437,0.9087213158224934,0.7679881070818477,0.3708198603302072,0.1994014606404315,0.6078431372549019,5.5688
1206,105825000,0.090538,0.006196,0.30578,0.25997,0.24697,0.11349,0.24775,0.035952,0.37835,0.33704,-0.16115,0.37658,0.12478,0.2864,0.058798,0.44969,0.29141,0.37233,0.4097699999999999,0.46485,0.37395,-0.13982,0.15341,0.23374,0.4145899999999999,0.28735,0.3017,0.1718599999999999,-0.22875,0.1903,0.2384099999999999,0.2353,0.35135,0.34521,0.31966,0.22343,0.19715,0.2545199999999999,0.30948,0.2112099999999999,0.13737,0.39496,0.43666,0.3193,0.26892,0.46798,0.32726,0.23936,0.27379,0.36704,0.36332,0.1459,0.31183,0.4066099999999999,0.33894,0.3185,0.10702,0.25942,0.17192,0.24489,0.25368,0.30215,0.11168,0.1976099999999999,-0.2092099999999999,0.42251,0.13463,-0.17077,-0.24645,0.04651,-0.41397,0.23992,-0.16035,-0.041789,0.058891,0.4287,0.43388,-0.069599,0.29943,-0.35072,-0.33849,0.24193,-0.0632559999999999,0.30213,0.0232509999999999,0.8491971326991383,0.8532384023710682,0.7705890548179444,0.3625236295882617,0.1923056918779393,0.6254681647940075,5.3784
1207,107325000,0.3887999999999999,0.24172,1.0182,0.871545,0.71241,0.2405999999999999,0.7077600000000001,0.4669999999999999,0.778645,0.89414,-0.02737,0.189085,0.59426,0.74848,0.33693,0.8210200000000001,0.8406,0.999785,0.748065,0.876925,0.986135,-0.008237,0.638145,0.79356,0.90819,1.0245,0.99763,0.57916,-0.1479,0.66335,0.8920600000000001,0.772115,0.97982,0.94408,0.74336,0.5677800000000001,0.63906,0.708835,0.8889750000000001,0.8808800000000001,0.710315,0.859595,0.84498,0.660865,0.34478,0.95349,0.5956100000000001,0.87012,0.64852,0.63537,0.518425,0.198955,0.3425349999999999,0.60449,0.70977,0.585575,0.443875,0.73254,0.7876000000000001,0.3548049999999999,0.69242,0.8042600000000001,0.63349,0.5978300000000001,-0.2111649999999999,0.4401799999999999,0.44004,-0.15866,-0.2357849999999999,-0.0666779999999999,-0.3893149999999999,0.4302849999999999,0.0365935,0.10754,0.35606,0.642635,0.64262,-0.0466585,0.55007,-0.343975,-0.32968,0.3606749999999999,0.2091399999999999,0.46891,0.160975,0.7941833604938496,1.2637052130363564,0.7393647035321192,0.4245769441365399,0.2247181704984488,0.5582684093263512,5.49535
1208,108825000,0.43855,0.25522,1.1639,0.91381,0.74363,0.27366,0.78024,0.51739,0.847125,0.959665,-0.0182555,0.150205,0.61253,0.75954,0.37246,0.888485,0.89404,1.0563,0.78758,0.92482,0.980345,0.0368315,0.692585,0.86598,0.87067,1.1655,1.0854,0.609355,-0.15175,0.729665,0.972895,0.764325,1.0871,1.02545,0.7748,0.58594,0.62425,0.737215,0.97021,0.95226,0.7812049999999999,0.911185,0.908625,0.7236549999999999,0.33099,0.986015,0.6474,0.926175,0.7502850000000001,0.647875,0.5269999999999999,0.2287699999999999,0.3298149999999999,0.5819300000000001,0.7585949999999999,0.65733,0.4985199999999999,0.80943,0.846125,0.35173,0.78089,0.8094250000000001,0.69181,0.642965,-0.2125699999999999,0.486615,0.49655,-0.15792,-0.2388799999999999,-0.0787655,-0.393565,0.47865,0.0762229999999999,0.19774,0.39382,0.613795,0.634665,-0.033243,0.5823799999999999,-0.3443449999999999,-0.3300599999999999,0.3683299999999999,0.26669,0.4676099999999999,0.2114,0.79389273044367,1.2596222847476644,0.759622723848624,0.3897725109361067,0.2077387812284961,0.5368778143794011,5.549
1209,110325000,0.52036,0.36136,1.3483,1.1764,0.94297,0.29853,0.8654,0.7541899999999999,1.0164,0.95794,0.082938,-0.011992,0.92795,0.98737,0.5047,0.97244,1.0175,1.1166,0.8296,0.94212,0.95371,0.24861,0.98916,0.90504,1.0407,1.2568,1.2773,0.76685,-0.10562,0.94522,1.2009,0.995,1.2398,1.0409,0.83965,0.72752,0.73287,0.68921,1.1937,1.173,1.0291,1.0511,0.97507,0.80193,0.3786199999999999,0.9773,0.8335299999999999,1.1896,0.98576,0.77274,0.6019,0.25328,0.4972899999999999,0.76367,0.8516299999999999,0.80514,0.94312,0.96662,1.107,0.41445,1.0397,0.95847,0.99183,0.95607,-0.2092099999999999,0.47847,0.76864,-0.13252,-0.22637,-0.15586,-0.37512,0.54476,0.24343,0.15273,0.61884,0.72568,0.7460100000000001,-0.008981,0.71649,-0.33457,-0.31601,0.43608,0.55806,0.57043,0.37437,0.7688102981238545,1.444585412954326,0.7915975030280651,0.3317314929117836,0.1667010307109465,0.4723926380368098,4.7198
1210,111825000,0.53482,0.2901049999999999,1.1475499999999998,1.03255,0.882845,0.2562699999999999,0.7790699999999999,0.61938,0.8624499999999999,0.931515,0.01368,0.069249,0.76218,0.8357699999999999,0.4428699999999999,0.90343,0.89425,0.989465,0.79139,0.8670800000000001,0.94798,0.0867749999999999,0.7828299999999999,0.92918,0.920315,1.1202,1.10085,0.66383,-0.120785,0.82999,0.93654,0.94797,1.03855,0.950735,0.822525,0.62597,0.6788449999999999,0.78421,1.1003,0.97955,0.83372,0.8668100000000001,0.96144,0.70189,0.3631699999999999,0.989065,0.68909,1.0175,0.80091,0.659605,0.543615,0.2396349999999999,0.409525,0.70586,0.772705,0.715975,0.6697649999999999,0.8389,0.90715,0.3847899999999999,0.838155,0.878325,0.826275,0.76702,-0.19817,0.300355,0.7922799999999999,-0.145575,-0.232155,-0.1359699999999999,-0.384825,0.4777249999999999,0.077965,0.0449929999999999,0.46412,0.677265,0.676685,-0.025145,0.61456,-0.34016,-0.3299999999999999,0.4157349999999999,0.3325,0.493105,0.20536,0.7809645399655258,1.3676723549285947,0.7704998130498258,0.3685789108855148,0.1878577148256105,0.4959838709677419,4.76375
1211,113325000,0.48096,0.2895,1.1393,0.99072,0.7734800000000001,0.31808,0.79864,0.6056699999999999,0.87259,0.94787,-0.0220889999999999,0.18611,0.6915600000000001,0.8456299999999999,0.39065,0.8925299999999999,0.95653,1.071,0.7712899999999999,0.90964,1.0503,0.038468,0.78351,0.88254,0.8849100000000001,1.1342,1.0903,0.63154,-0.15111,0.77336,1.0028,0.8883700000000001,1.1138,1.0167,0.79927,0.66133,0.71585,0.68203,1.0634,0.94927,0.8585799999999999,0.91953,0.94204,0.75771,0.41825,1.0473,0.72131,0.97006,0.72539,0.67976,0.5036,0.22195,0.47092,0.7075600000000001,0.8310700000000001,0.6925399999999999,0.6067899999999999,0.8629899999999999,0.8810399999999999,0.42654,0.8106399999999999,0.9055,0.74046,0.7003699999999999,-0.21075,0.41338,0.6037600000000001,-0.13165,-0.23876,-0.069682,-0.41228,0.4996,0.076495,0.016887,0.45606,0.69584,0.67609,-0.023459,0.63771,-0.34605,-0.33224,0.36982,0.30881,0.49131,0.23698,0.8088467241220618,1.2006155429762595,0.7663129354439641,0.3859742718974608,0.2000209487067969,0.5083798882681564,4.958
1212,114825000,0.0767355,0.0148849999999999,0.3414799999999999,0.247085,0.23889,0.0966015,0.2350699999999999,0.049744,0.3792149999999999,0.3174,-0.2083149999999999,0.45732,0.0837814999999999,0.253345,0.0604165,0.47535,0.2745799999999999,0.35621,0.38803,0.427585,0.3216799999999999,-0.16197,0.172695,0.244,0.3902799999999999,0.3370799999999999,0.34611,0.168495,-0.26221,0.2091349999999999,0.34415,0.2081099999999999,0.390905,0.3702,0.22121,0.2015749999999999,0.173985,0.26632,0.357495,0.25508,0.1937449999999999,0.36964,0.400965,0.36694,0.22032,0.4049999999999999,0.38102,0.28564,0.28252,0.33069,0.33161,0.1538999999999999,0.308255,0.4250199999999999,0.3380599999999999,0.339985,0.0879295,0.22518,0.16675,0.29855,0.26092,0.328055,0.0854304999999999,0.216325,-0.213085,0.371015,0.0733634999999999,-0.13707,-0.25078,0.104585,-0.422995,0.2180949999999999,-0.149725,-0.1093549999999999,0.0421369999999999,0.37839,0.3935099999999999,-0.0756435,0.323365,-0.3633699999999999,-0.36298,0.21654,-0.088177,0.26046,0.088707,0.8612541527872303,0.7749058870597836,0.8252731580735004,0.2944217302894408,0.1496583650676917,0.5719627082634463,4.64425
1213,116325000,0.039951,0.028383,0.27359,0.2308,0.2049,0.095715,0.2636,0.050574,0.37009,0.27291,-0.176,0.53628,0.0637539999999999,0.25893,0.039835,0.52775,0.2621,0.32818,0.38145,0.42821,0.3226699999999999,-0.15902,0.1718,0.24716,0.34733,0.27697,0.31971,0.16402,-0.2446699999999999,0.2177599999999999,0.23373,0.1939799999999999,0.32885,0.32261,0.23281,0.20713,0.13995,0.25563,0.35685,0.25334,0.14753,0.41943,0.34892,0.35823,0.25668,0.39213,0.37211,0.2477,0.28215,0.36515,0.36029,0.18217,0.34154,0.44011,0.31482,0.32371,0.11047,0.2152099999999999,0.14428,0.33937,0.25895,0.31945,0.087781,0.20581,-0.2060199999999999,0.4042,0.11979,-0.10633,-0.24499,0.077894,-0.41478,0.2427099999999999,-0.1445,-0.083157,0.039573,0.4117399999999999,0.45118,-0.0618639999999999,0.3281699999999999,-0.35385,-0.34952,0.2569599999999999,-0.088708,0.2903699999999999,0.13243,0.8438945947125172,0.8248874971762991,0.8181830557906066,0.3166098094420617,0.1690189532228693,0.5708955223880597,5.1286
