paint name,start,H3pSer10,ATRX,H4K8ac,HDAC2,H3K9ac,H3K9me3,H3K9me2,RNAPIISer2-P,H3,H3K36me2,UBTF,LaminB1,RNAPIISer5-P,RYBP,HP1beta,RING1B,H2A.X,H3K4me1,H4K20me2,H3K27me2,JARID2,SF3A66,CBP,H2AK119u1,EZH2,H3K4me2,BRG1,HP1alpha,Fibrillarin,KAP1,H3K27ac,H3K4me3,H3K36ac,H3K14ac,H4K20me1,HP1gamma,H4K20me3,H3K27me3,mH2A1,CHD4,KAT3B/p300,H3K56ac,H3K36me3,RAD51,SUZ12,H4K16ac,MED1,HDAC1,NANOG,POU5F1,ZSCAN4,MuERVL-Gag,OTX1/OTX2,WHSC2/NELF-A,SOX2,KLF4,BRD4,PCNA,RBAP48,HA-tag,ZMYM2/RAMP,SALL4,CPSF6,CyclinT1,rDNA,LINE1,SINEB1,Telomere,MinSat,E-Cadherin,MajSat,Control,Malat1_RNA,LINE1_RNA,SINEB1_RNA,MERVLP1_RNA,MERVLP2_RNA,TERRA_RNA,18k_intron,ITS1_RNA,Rnu3b_RNA,MajSat_sense_RNA,Rnu2_RNA,MajSat_antisense_RNA,polyA_RNA,n_rad_score,n_per_dist(um),c_rad_score,c_surf_dist(um),c_alpha1_dist(um),trans_score,paint
529,124325000,0.910405,0.38822,0.82453,1.3484,1.475,-0.084005,0.405845,1.02975,1.21365,0.925025,0.83735,-0.20956,1.26255,1.329,0.481215,1.0143,1.0232,1.3791,0.930785,0.874625,1.13625,0.7890349999999999,1.2005,1.1556,1.0579,1.6074,1.2362,0.74606,-0.1398349999999999,1.1885,0.863175,1.34185,0.80651,1.0443,0.99311,0.657645,0.42396,0.7857350000000001,0.77056,1.1244,1.2089500000000002,1.0149499999999998,0.950935,0.904605,1.0222,1.1339,0.8721650000000001,1.3577,1.1731,1.253,1.0683,0.63847,0.7838350000000001,0.8605100000000001,1.21355,1.0685,1.0117,1.06355,1.1251,0.62731,1.064,0.750185,1.2795,0.937345,-0.2591199999999999,-0.041702,1.95885,-0.171495,-0.0167315,-0.26754,-0.41022,0.662515,0.21304,0.3977349999999999,1.2312,0.63943,0.69345,-0.0825075,1.0729,-0.30566,-0.25278,0.25576,1.01885,0.51065,0.782775,0.7262517824140339,2.0443570557345034,0.6588472271814065,0.7403432630829662,0.3523576288510479,0.5546097749444605,4.409549999999999
530,125875000,0.5492600000000001,0.20384,0.51771,0.77075,0.7316,0.007323,0.46408,0.44985,0.68138,0.43558,0.40709,0.0737039999999999,0.4800899999999999,0.68409,0.22785,0.73597,0.51648,0.80896,0.69782,0.71706,0.71633,0.26355,0.66685,0.94799,0.57503,0.70653,0.72732,0.44071,-0.23726,0.64039,0.4685899999999999,0.54584,0.50572,0.7028,0.65772,0.3371099999999999,0.22516,0.80928,0.59362,0.6191800000000001,0.64531,0.72318,0.44451,0.6137600000000001,0.7598,0.75048,0.50338,0.73234,0.7177399999999999,0.7042,0.80182,0.39277,0.4554399999999999,0.66393,0.6590199999999999,0.64586,0.40846,0.5817399999999999,0.61745,0.4374699999999999,0.5767,0.44896,0.51717,0.50312,-0.26115,-0.015557,0.92115,-0.1761,-0.1190099999999999,-0.16079,-0.43742,0.52544,-0.053646,0.20078,0.5283100000000001,0.4615,0.52089,-0.098579,0.5666800000000001,-0.31664,-0.3080699999999999,0.20199,0.35076,0.39053,0.4792,0.7945638348688921,1.4503910515259548,0.7511398960128417,0.5382156006646643,0.282217923964025,0.6108597285067874,4.6474
531,127375000,0.72768,0.26198,0.72728,0.98899,0.95011,0.017525,0.55499,0.63863,0.89417,0.66973,0.5728300000000001,0.017694,0.72334,0.89556,0.31366,0.8769100000000001,0.7176,1.0744,0.8649399999999999,0.89487,0.96561,0.37098,0.86475,1.1639,0.78301,1.0318,0.94608,0.56686,-0.19564,0.84596,0.64996,0.80903,0.69234,0.88639,0.8296,0.46617,0.32735,0.98993,0.74763,0.81792,0.84285,0.8996700000000001,0.6438699999999999,0.74338,0.96612,0.95663,0.62265,0.97951,0.9055,0.90824,0.93757,0.51074,0.5422899999999999,0.7659100000000001,0.8846799999999999,0.8087300000000001,0.564,0.79325,0.8200299999999999,0.5586800000000001,0.74219,0.6086699999999999,0.72938,0.61093,-0.25891,-0.036771,1.1684,-0.18112,-0.10271,-0.1746,-0.43903,0.63534,-0.0212289999999999,0.2675599999999999,0.71633,0.52368,0.58136,-0.094523,0.70277,-0.31132,-0.2802,0.22875,0.51675,0.43099,0.51742,0.7806045423709816,1.5634118672330688,0.7110249903422475,0.6296610525214861,0.3324365650257649,0.6104218362282878,4.9474
532,128875000,0.84285,0.3845,0.86845,1.2849,1.3968,-0.059888,0.43804,1.0293,1.1419,0.91297,0.81384,-0.13184,1.2696,1.2655,0.4606699999999999,1.0008,0.97097,1.3495,0.94064,0.84677,1.0955,0.7226100000000001,1.204,1.091,1.0121,1.4725,1.2158,0.72656,-0.14021,1.1495,0.92849,1.2859,0.85164,1.0324,0.92916,0.63835,0.39976,0.78135,0.76713,1.0336,1.1761,1.0309,0.9372,0.94407,0.98443,1.125,0.86114,1.2604,1.1331,1.1955,1.0387,0.66382,0.76879,0.88718,1.1625,1.0544,0.99418,1.034,1.0506,0.64032,1.0229,0.77162,1.2098,0.90721,-0.25667,-0.008922,1.7642,-0.17352,-0.043424,-0.23317,-0.42777,0.60759,0.12633,0.38184,1.1298,0.6373,0.67853,-0.082726,1.0065,-0.30572,-0.25426,0.2615,0.91033,0.50656,0.70949,0.753061556274408,1.7621333884257586,0.6758702165156902,0.7257721651353357,0.3534554569973683,0.5717054263565892,4.5871
533,130400000,0.576875,0.18827,0.58811,0.75595,0.7389899999999999,-0.0538094999999999,0.415615,0.4577,0.65988,0.556215,0.356495,0.2254,0.50082,0.6604800000000001,0.19866,0.72242,0.6189,0.905855,0.74195,0.69731,0.843465,0.2298649999999999,0.66803,0.929255,0.565025,0.70705,0.7066399999999999,0.3892299999999999,-0.2382,0.58619,0.5374749999999999,0.60825,0.5390199999999999,0.8055399999999999,0.655045,0.2747699999999999,0.19864,0.677195,0.527855,0.5768800000000001,0.63139,0.7754300000000001,0.505575,0.66204,0.71795,0.786975,0.5063300000000001,0.696565,0.706515,0.66758,0.7631399999999999,0.41739,0.468425,0.6831799999999999,0.692655,0.709735,0.36938,0.59499,0.57395,0.4715749999999999,0.53979,0.43282,0.4874249999999999,0.4995549999999999,-0.262,-0.111815,1.0598,-0.17532,-0.11076,-0.1035,-0.443785,0.4697949999999999,-0.10253,0.17686,0.5034449999999999,0.451105,0.4995699999999999,-0.10009,0.511235,-0.31778,-0.318675,0.21752,0.26532,0.398015,0.4453399999999999,0.8101156332594565,1.2966401127182463,0.7662897316068795,0.5314142086408726,0.2840746466356014,0.6065217391304348,4.91075
534,131900000,0.527005,0.13147,0.4937049999999999,0.652835,0.6423300000000001,-0.0481425,0.4084099999999999,0.34857,0.567035,0.49397,0.29574,0.2509049999999999,0.3669199999999999,0.56223,0.13633,0.64182,0.570605,0.799385,0.75434,0.6322450000000001,0.81347,0.17886,0.6056600000000001,0.88509,0.4426049999999999,0.547945,0.60436,0.33126,-0.25593,0.47775,0.44428,0.4990749999999999,0.46603,0.72031,0.6246700000000001,0.207645,0.175395,0.634905,0.458445,0.4788699999999999,0.534715,0.7322649999999999,0.437485,0.632775,0.634955,0.678455,0.4361399999999999,0.577625,0.6179749999999999,0.553415,0.7177399999999999,0.365125,0.40548,0.6232500000000001,0.6214500000000001,0.6018100000000001,0.305805,0.51102,0.46916,0.423245,0.43627,0.36185,0.3840949999999999,0.40054,-0.263335,-0.142725,0.872855,-0.180145,-0.12868,-0.07432,-0.4421,0.41539,-0.1080549999999999,0.1241699999999999,0.43137,0.410435,0.450505,-0.098595,0.457095,-0.32063,-0.32375,0.19932,0.2241249999999999,0.3613299999999999,0.4041149999999999,0.8101229556239262,1.2542372715729415,0.7828861744608884,0.491065987586463,0.2561658819906802,0.598382455528427,4.80255
535,133400000,0.782605,0.316415,0.7404649999999999,1.1341,1.18785,-0.066112,0.393895,0.858875,0.98625,0.803175,0.6750449999999999,0.0032849999999999,1.0021,1.0384,0.36357,0.884695,0.86683,1.2216,0.88256,0.7496700000000001,0.99262,0.539195,1.0444,1.0232,0.82175,1.2644,1.0690499999999998,0.62067,-0.1791299999999999,1.01195,0.87645,1.0479,0.747135,0.94647,0.828865,0.5088999999999999,0.300725,0.69306,0.6945600000000001,0.93448,1.0128,0.989085,0.73377,0.83684,0.856375,0.96596,0.758335,1.1222,1.0118,1.0269,0.95526,0.57782,0.6534599999999999,0.81446,1.01195,0.949365,0.7557,0.8789799999999999,0.91806,0.56606,0.876385,0.6425700000000001,0.912945,0.75202,-0.25814,-0.0745035,1.7466,-0.1698499999999999,-0.049629,-0.163015,-0.4286399999999999,0.55912,0.019333,0.2855149999999999,0.94422,0.5528150000000001,0.59253,-0.0870085,0.8274699999999999,-0.3091049999999999,-0.2776349999999999,0.2359,0.66966,0.4535249999999999,0.6227450000000001,0.7654006804145135,1.6335780256057535,0.7367556385931981,0.5964004169699828,0.3057572556383262,0.5648535564853556,4.65405
536,134900000,0.99106,0.47445,0.89259,1.5137,1.6819,-0.098648,0.38239,1.3039,1.3705,1.1068,0.99505,-0.31342,1.5359,1.4594,0.56023,1.1303,1.1503,1.6272,1.0166,0.88361,1.2434,0.97038,1.42,1.1838,1.189,1.9439,1.4543,0.8633200000000001,-0.10627,1.3961,1.0991,1.545,0.96549,1.196,1.0207,0.7843100000000001,0.44825,0.79798,0.85874,1.3294,1.4213,1.204,1.066,1.0069,1.1193,1.2064,1.0383,1.5581,1.3258,1.4221,1.1014,0.75453,0.88705,0.94016,1.3681,1.2525,1.2147,1.1957,1.2968,0.72518,1.2381,0.89335,1.4288,1.1189,-0.25499,-0.040652,2.4155,-0.1675,0.0390019999999999,-0.29551,-0.40947,0.77366,0.28717,0.42249,1.4994,0.70926,0.74143,-0.066579,1.2542,-0.30071,-0.2327199999999999,0.28536,1.2103,0.54778,0.9166,0.7050901305384606,2.2059684416755205,0.7194985942021092,0.6251807786043749,0.2875636040726002,0.471326164874552,3.7864
537,136400000,0.9894,0.4582199999999999,0.83621,1.5122,1.6915,-0.084717,0.3994,1.2976,1.3831,1.0867,0.98511,-0.36071,1.454,1.491,0.58077,1.161,1.1656,1.5652,1.0593,0.8937200000000001,1.2089,1.1842,1.4277,1.1819,1.2297,1.9259,1.4171,0.87036,-0.1082099999999999,1.3955,1.0066,1.5765,0.93109,1.1592,0.98133,0.8045,0.46356,0.83455,0.85916,1.3002,1.4439,1.1317,1.0224,0.99409,1.1346,1.193,1.0284,1.5506,1.321,1.4204,1.1006,0.70757,0.8881100000000001,0.92413,1.3497,1.2299,1.2392,1.1866,1.3015,0.6896399999999999,1.2586,0.8536600000000001,1.4816,1.1258,-0.2475099999999999,-0.017047,2.1779,-0.16588,0.014582,-0.31835,-0.39886,0.69921,0.3951199999999999,0.4051099999999999,1.4875,0.72329,0.75303,-0.067802,1.2924,-0.30125,-0.23586,0.28489,1.3245,0.55548,0.98235,0.6932918726717093,2.303681305242036,0.7423818254122738,0.5702085118566214,0.2589173814311244,0.449438202247191,3.6022
538,137925000,0.86324,0.40112,0.7723300000000001,1.3353,1.4564499999999998,-0.049559,0.4149899999999999,1.0828,1.2342,0.962755,0.85067,-0.2472949999999999,1.239,1.3216,0.486035,1.0852499999999998,1.05525,1.3978,0.8990400000000001,0.843635,1.1476,0.920385,1.2473,1.1527500000000002,1.10455,1.5610499999999998,1.2369,0.78525,-0.12729,1.2257,0.891515,1.357,0.82052,1.05435,0.897275,0.692685,0.42206,0.835405,0.7918350000000001,1.1087,1.2432500000000002,0.95728,0.91629,0.86593,1.08655,1.1024500000000002,0.93511,1.3423500000000002,1.1706,1.24785,1.029,0.61326,0.76569,0.8721300000000001,1.2384499999999998,1.0808,1.04765,1.0632,1.12255,0.6387,1.1051,0.75359,1.27305,0.94835,-0.25494,0.027254,1.712,-0.16324,-0.040652,-0.27612,-0.41225,0.57045,0.27126,0.33263,1.24975,0.6464300000000001,0.686315,-0.077323,1.128,-0.305235,-0.251745,0.25765,1.0694,0.5124,0.830735,0.7150057393403131,2.1326803538600023,0.7568877901407174,0.5453393690529795,0.2611899902210349,0.478010989010989,3.7227
