sep=;
"Cluster";"Purkinje";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0031300";"intrinsic component of organelle membrane";"80/2680";"403/23271";7.28476492272436e-07;8.81456555649647e-05;6.68409132383305e-05;"Abcb6/Abcb9/Abhd17a/Afg3l1/Alg3/Aqp2/Atf6b/Atp6v0a1/Atp6v1g2/B4galnt1/Calr/Ccdc51/Cln3/Coa3/Cpt1c/Creb3/Creb3l1/Dmpk/Dnajb2/Dnajc5/Dolk/Dolpp1/Dpm3/Elovl3/Emc1/Emc10/Esyt1/Fkbp8/Furin/Gfy/Gpaa1/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23/H2-T3/Majin/Mymk/Nfe2l1/Pcsk4/Pgap3/Pigs/Pigt/Preb/Ptprs/Qsox2/Rab11b/Rab26/Rab3a/Rce1/Rdh1/Rdh16/Rdh16f2/Rdh19/Rdh9/Rfng/Rhot2/Sco2/Slc17a7/Slc25a19/Slc30a3/Slc35b2/Sppl2b/Sun1/Syne4/Sys1/Tap1/Tap2/Tapbp/Tm7sf2/Tomm40/Vamp2/Yif1a/Yif1b";80
"SF3A66";"SF3A66";"GO:0005874";"microtubule";"83/2680";"430/23271";1.49172352026603e-06;0.000135373909464142;0.00010265413172357;"Apc2/Apoe/Atat1/Aurkb/Axin1/Baiap2/Camsap1/Cdk2ap2/Cdk5/Cdk5rap3/Ckap5/Clip3/Csnk1d/Daxx/Dctn2/Dcxr/Dnah2/Dnm1/Dpp9/Dvl1/Dync1h1/Dynll2/Eml2/Enkd1/Gabarap/Gas8/Golga2/Gsk3a/Haus5/Haus8/Hook2/Iqgap1/Kif13b/Kif18b/Kif1c/Kif22/Kif5a/Kifc1/Kifc2/Klc2/Klc3/Klc4/Kntc1/Map1s/Map2k2/Map3k11/Map6d1/Mapre3/Misp/Nckap5l/Nicn1/Numa1/Odf2/Odf3l2/Prc1/Radil/Ranbp10/Rassf1/Rcc2/Rusc1/Saa1/Saa2/Sarm1/Sirt2/Spaca9/Spag5/Tbcb/Tmem214/Tpgs1/Tppp3/Trim54/Ttll13/Ttll3/Tuba1a/Tuba1b/Tuba1c/Tuba4a/Tubb3/Tubb4b/Tubb5/Tubg1/Tubg2/Tubgcp6";83
"SF3A66";"SF3A66";"GO:0012506";"vesicle membrane";"71/2680";"363/23271";5.15497415252624e-06;0.000351401636804521;0.000266468110843504;"Abca3/Abcc8/Ap1s1/Ap2a1/Ap2a2/Ap2m1/Aqp5/Aspscr1/Atp6v0a1/Atp6v1g2/Bsg/Cd177/Clba1/Cope/Copz2/D230025D16Rik/Dbh/Dnajc5/Doc2a/Drd4/Ece2/Epn3/Flot2/Furin/Grb2/Grin1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Hyal3/Izumo1/Kdelr1/Kdelr2/Kdelr3/Pcsk4/Prrt1/Ptprs/Rab11b/Rab26/Rab3a/Rapgef1/Ryr1/Scyl1/Sec16a/Sgta/Slc17a7/Slc26a6/Slc2a4/Slc30a3/Slc5a6/Sun1/Sycn/Syngr3/Syngr4/Tap1/Tapbp/Tcirg1/Tepsin/Tex101/Tmem190/Tmem199/Tmem95/Trim72/Unc13a/Vamp2/Vgf/Zg16";71
"SF3A66";"SF3A66";"GO:0030659";"cytoplasmic vesicle membrane";"67/2680";"337/23271";5.32426722431093e-06;0.000351401636804521;0.000266468110843504;"Abca3/Abcc8/Ap1s1/Ap2a1/Ap2a2/Ap2m1/Aqp5/Aspscr1/Atp6v0a1/Atp6v1g2/Bsg/Cd177/Clba1/Cope/Copz2/D230025D16Rik/Dbh/Dnajc5/Doc2a/Ece2/Epn3/Flot2/Furin/Grin1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Hyal3/Izumo1/Kdelr1/Kdelr2/Kdelr3/Pcsk4/Prrt1/Ptprs/Rab11b/Rab26/Rab3a/Rapgef1/Ryr1/Scyl1/Sec16a/Sgta/Slc17a7/Slc2a4/Slc30a3/Sun1/Sycn/Syngr3/Syngr4/Tap1/Tapbp/Tcirg1/Tepsin/Tex101/Tmem190/Tmem199/Tmem95/Trim72/Unc13a/Vamp2/Vgf/Zg16";67
"SF3A66";"SF3A66";"GO:0034358";"plasma lipoprotein particle";"14/2680";"34/23271";1.02683823282644e-05;0.000560873917070477;0.00042531108978956;"Apobr/Apoc1/Apoc2/Apoc4/Apoe/Apof/Apom/Lcat/Lsr/Pltp/Saa1/Saa2/Saa3/Saa4";14
"SF3A66";"SF3A66";"GO:1990777";"lipoprotein particle";"14/2680";"34/23271";1.02683823282644e-05;0.000560873917070477;0.00042531108978956;"Apobr/Apoc1/Apoc2/Apoc4/Apoe/Apof/Apom/Lcat/Lsr/Pltp/Saa1/Saa2/Saa3/Saa4";14
"SF3A66";"SF3A66";"GO:0034364";"high-density lipoprotein particle";"12/2680";"26/23271";1.08157504669238e-05;0.000560873917070477;0.00042531108978956;"Apoc1/Apoc2/Apoc4/Apoe/Apof/Apom/Lcat/Pltp/Saa1/Saa2/Saa3/Saa4";12
"SF3A66";"SF3A66";"GO:0098576";"lumenal side of membrane";"10/2680";"20/23271";2.49425277991518e-05;0.00120721834547895;0.00091543452904957;"Aqp2/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Nucb1/Sppl2b";10
"SF3A66";"SF3A66";"GO:0016323";"basolateral plasma membrane";"52/2680";"259/23271";4.36231103774506e-05;0.00186296341964877;0.00141268648466914;"Abcc3/Abcc5/Abcc6/Ager/Ap2a1/Aqp2/Aqp5/Arrb2/Car11/Car9/Cd300lg/Ceacam1/Ceacam2/Cldn7/Dag1/Ddr1/Erbb3/Flot1/Flot2/Folr1/Grk2/Hsp90aa1/Hsp90ab1/Hspa1a/Itgb4/Kcnj4/Lin7b/Llgl1/Lpo/Lrp1/Mst1r/Myo1a/Orai1/P2ry2/Palm/Pianp/Pkd1/Plec/Slc16a3/Slc22a7/Slc26a10/Slc26a6/Slc27a1/Slc29a1/Slc29a2/Slc29a4/Slc38a3/Slc39a5/Slc46a1/Slc4a1/Slc4a2/Stx4a";52
"SF3A66";"SF3A66";"GO:0005840";"ribosome";"48/2680";"234/23271";4.81127178590162e-05;0.00194054628698032;0.0014715176280857;"2810006K23Rik/Abcf1/Aurkaip1/Eef2/Gadd45gip1/Larp4/Mpv17l2/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl20/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl49/Mrpl54/Mrps12/Mrps18a/Mrps18b/Mrps23/Mrps34/Mrps7/Ndufa7/Nufip2/Rpl13a/Rpl18/Rpl18a/Rpl19/Rpl23/Rpl23a/Rpl27/Rpl28/Rpl3l/Rpl41/Rpl7a/Rpl7l1/Rplp2/Rps11/Rps15/Rps16/Rps18/Rps19/Rps2/Rps28/Uba52";48
