sep=;
"Cluster";"Granule";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0031300";"intrinsic component of organelle membrane";"81/2606";"403/23271";1.14001860487877e-07;2.74744483775783e-05;2.27203707919698e-05;"Abhd17a/Aqp2/Atf6b/Atp6v0a1/Atp6v1g2/B4galnt1/Bak1/Bet1l/Bscl2/Calr/Cln3/Coa3/Cpt1a/Cpt1c/Cyp2e1/Dmpk/Dolk/Dolpp1/Emc10/Emc9/Ergic1/Esyt1/Fitm1/Fkbp8/Gfy/Gpaa1/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23/H2-T3/Itpr3/Lemd2/Majin/Micos13/Mymk/Pcsk4/Pex10/Pgap3/Ptprs/Qsox2/Rab11b/Rab26/Rab3a/Rab4b/Rab5b/Rab5c/Rce1/Rdh1/Rdh16/Rdh16f2/Rdh19/Rdh9/Rer1/Rfng/Rhot2/Sco2/Slc17a7/Slc25a19/Slc27a5/Slc35a2/Slc35b2/Slc8a2/Sppl2b/Syne4/Syt5/Tap1/Tap2/Tapbp/Timm17b/Tm7sf2/Tomm40/Uqcc3/Yif1a/Yif1b";81
"SF3A66";"SF3A66";"GO:0005840";"ribosome";"54/2606";"234/23271";1.63362667949766e-07;2.95278022319201e-05;2.44184198409123e-05;"Abcf1/Aurkaip1/Eef2/Gadd45gip1/Isg15/Mpv17l2/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl20/Mrpl21/Mrpl28/Mrpl34/Mrpl38/Mrpl41/Mrpl49/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps34/Mrps7/Mtg1/Ndufa7/Rpl10/Rpl10a/Rpl13a/Rpl18/Rpl18a/Rpl19/Rpl23/Rpl27/Rpl28/Rpl36/Rpl3l/Rpl41/Rpl6/Rpl7a/Rpl7l1/Rplp2/Rps10/Rps11/Rps15/Rps16/Rps18/Rps19/Rps2/Rps26/Rps28/Rps5/Rps9/Uba52";54
"SF3A66";"SF3A66";"GO:0030141";"secretory granule";"79/2606";"401/23271";3.82426329594333e-07;4.52646534056793e-05;3.74322241165114e-05;"Abca3/Acr/Akt2/Ap2a1/Ap2a2/Arsa/Atp8b3/Baiap2/Bsg/Calr/Capn11/Cbarp/Cd177/Cep131/Dbh/Dkkl1/Elane/Fstl3/Gal/Hcrt/Hgs/Itpr3/Izumo1/Kcnj11/Klk1/Klk15/Klk1b1/Klk1b11/Klk1b16/Klk1b21/Klk1b22/Klk1b24/Klk1b26/Klk1b27/Klk1b3/Klk1b4/Klk1b5/Klk1b8/Klk1b9/Klk4/Klk5/Klk6/Klk7/Klk8/Krtdap/Lrp1/Lyzl6/Napsa/Ncs1/Notch1/Pcsk1n/Pcsk4/Pomt1/Ppfia3/Prss57/Prtn3/Rab26/Rab37/Rab3a/Rab4b/Slc2a4/Spaca9/Stx4a/Stxbp1/Sycn/Syt5/Tbxa2r/Tcirg1/Tex101/Tgfb1/Tmem190/Tmem95/Tnf/Tor1a/Tsks/Unc13d/Vegfa/Zg16/Zpbp2";79
"SF3A66";"SF3A66";"GO:0098576";"lumenal side of membrane";"10/2606";"20/23271";1.94531384726652e-05;0.0014064619115737;0.00116309291078672;"Aqp2/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Nucb1/Sppl2b";10
"SF3A66";"SF3A66";"GO:0030670";"phagocytic vesicle membrane";"11/2606";"26/23271";5.27205812898649e-05;0.00296061689489023;0.00244832262691658;"H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Rapgef1/Tap1/Tapbp/Tcirg1";11
"SF3A66";"SF3A66";"GO:0005797";"Golgi medial cisterna";"10/2606";"23/23271";8.77089037736372e-05;0.00422756916188932;0.00349604612936323;"B3galt6/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Hid1";10
"SF3A66";"SF3A66";"GO:0097525";"spliceosomal snRNP complex";"16/2606";"55/23271";0.000241560471454695;0.00919201162430235;0.00760145971115052;"Cd2bp2/Ddx23/Ddx39b/Eftud2/Lsm2/Lsm4/Lsm7/Luc7l/Prpf31/Prpf40b/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpa/Snrpd2";16
"SF3A66";"SF3A66";"GO:0005891";"voltage-gated calcium channel complex";"13/2606";"40/23271";0.000273798180997259;0.00952491858705667;0.0078767616764187;"Cacna1a/Cacna1h/Cacnb1/Cacnb3/Cacng6/Cacng7/Cacng8/Catsper1/Catsperd/Catsperg1/Catsperg2/Catsperz/Stac3";13
"SF3A66";"SF3A66";"GO:0012506";"vesicle membrane";"63/2606";"363/23271";0.000276657386346044;0.00952491858705667;0.0078767616764187;"Abca3/Abcc8/Ap2a1/Ap2a2/Ap2s1/Aqp5/Aspscr1/Atp6v0a1/Atp6v1g2/Bsg/Calm3/Cd177/Cope/Dbh/Doc2a/Drd4/Epn1/Gosr2/Grb2/Grin1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Itpr3/Izumo1/Kdelr1/Pcsk4/Prrt1/Ptprs/Rab11b/Rab26/Rab3a/Rab4b/Rab5b/Rab5c/Rapgef1/Ryr1/Scyl1/Sec16a/Sgta/Slc17a7/Slc2a4/Sycn/Syngr3/Syngr4/Syt5/Tap1/Tapbp/Tcirg1/Tepsin/Tex101/Tmem190/Tmem198b/Tmem95/Tor1a/Traf2/Trim72/Unc13a/Zg16";63
"SF3A66";"SF3A66";"GO:0034364";"high-density lipoprotein particle";"10/2606";"26/23271";0.000296834412300207;0.00975505818604772;0.00806707876490515;"Apoc1/Apoc2/Apoc4/Apoe/Apof/Apom/Saa1/Saa2/Saa3/Saa4";10
"SF3A66";"SF3A66";"GO:1990777";"lipoprotein particle";"11/2606";"34/23271";0.000835792044369575;0.0230140615345964;0.0190317928975042;"Apobr/Apoc1/Apoc2/Apoc4/Apoe/Apof/Apom/Saa1/Saa2/Saa3/Saa4";11
"SF3A66";"SF3A66";"GO:0098839";"postsynaptic density membrane";"22/2606";"97/23271";0.000911254577409821;0.023529894980975;0.0194583684198789;"Abhd17a/Cacng7/Cacng8/Cnih2/Dlg4/Efnb3/Grik5/Grin1/Grin2c/Grin2d/Grin3b/Gsg1l/Lrfn1/Lrfn3/Lrfn4/Lrrc4b/Mpp2/Pacsin1/Prrt1/Ptprs/Scrib/Slc16a3";22
"SF3A66";"SF3A66";"GO:0005761";"mitochondrial ribosome";"21/2606";"92/23271";0.00108023070875118;0.0260335600809034;0.0215288085112515;"Mpv17l2/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl20/Mrpl21/Mrpl28/Mrpl34/Mrpl38/Mrpl41/Mrpl49/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps34/Mrps7/Mtg1/Ndufa7";21
"SF3A66";"SF3A66";"GO:0005743";"mitochondrial inner membrane";"71/2606";"444/23271";0.00128713799913194;0.0290812741678874;0.0240491573522021;"Acadvl/Atad3a/Atp5b/Atp5d/Atp5h/Coa3/Coq4/Coq8b/Cox6a2/Cox6b1/Cox6b2/Cox7a1/Cox8a/Cox8b/Cpt1a/Crat/Cyc1/Cyp2b10/Cyp2e1/Dmac2/Eci1/Endog/Fahd1/Fdxr/Fpgs/Gcat/Gcdh/Gpx4/Micos13/Mpv17l2/Mtg1/Ndufa11/Ndufa3/Ndufa4l2/Ndufa7/Ndufaf3/Ndufb10/Ndufs7/Ndufs8/Ndufv1/Pcx/Plscr3/Pmpca/Prodh2/Rdh13/Rhot2/Sco2/Shmt2/Sirt3/Slc25a10/Slc25a11/Slc25a19/Slc25a22/Slc25a23/Slc25a39/Slc25a41/Slc25a42/Slc25a45/Slc27a1/Sphk2/Spns1/Stat3/Timm13/Timm17b/Timm50/Tmem256/Tomm40/Tufm/Uqcc2/Uqcc3/Uqcr11";71
"SF3A66";"SF3A66";"GO:0030139";"endocytic vesicle";"37/2606";"200/23271";0.00147779070323026;0.0309278262253292;0.0255761888272359;"Actg1/Ap2a1/Ap2a2/Ap2s1/Arrb2/Avpr2/Becn1/Calr/Cdc42ep2/Coro1a/Cpne6/Ehd1/Ehd2/Fmnl1/Ftl1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Kifc1/Rab11b/Rab11fip3/Rab5b/Rab5c/Rapgef1/Scimp/Sphk1/Stx4a/Stxbp1/Syt7/Tap1/Tapbp/Tcirg1/Unc93b1";37
"SF3A66";"SF3A66";"GO:0005684";"U2-type spliceosomal complex";"20/2606";"89/23271";0.00171708781019608;0.0344848468547713;0.0285177156781104;"Casc3/Ccdc130/Cdc5l/Cwc25/Dhx16/Dhx8/Eftud2/Lsm2/Lsm4/Lsm7/Luc7l/Prpf31/Prpf40b/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpd2/U2af2/Yju2";20
"SF3A66";"SF3A66";"GO:0120114";"Sm-like protein family complex";"17/2606";"72/23271";0.0021144901279135;0.0355529386623595;0.0294009888042807;"Cd2bp2/Ddx23/Ddx39b/Eftud2/Gemin7/Lsm2/Lsm4/Lsm7/Luc7l/Prpf31/Prpf40b/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpa/Snrpd2";17
"SF3A66";"SF3A66";"GO:0070603";"SWI/SNF superfamily-type complex";"17/2606";"73/23271";0.00247402988347753;0.0397352333852308;0.0328595946171815;"0610010K14Rik/Bicra/Bicral/Chd3/Dpf1/Dpf2/Ino80e/Kat5/Mbd3/Mcrs1/Mta2/Ruvbl2/Smarcc2/Smarcd1/Srcap/Tfpt/Zbtb7a";17
"SF3A66";"SF3A66";"GO:0005665";"RNA polymerase II, core complex";"6/2606";"14/23271";0.00265062300053387;0.0399250089455415;0.0330165321119132;"Polr2a/Polr2e/Polr2f/Polr2i/Polr2l/Zfp768";6
"SF3A66";"SF3A66";"GO:0042622";"photoreceptor outer segment membrane";"6/2606";"14/23271";0.00265062300053387;0.0399250089455415;0.0330165321119132;"Gnb1/Gucy2e/Pde6g/Prcd/Prph/Rom1";6
"SF3A66";"SF3A66";"GO:0035097";"histone methyltransferase complex";"18/2606";"80/23271";0.00281020500187617;0.0414648615582953;0.0342899342871249;"0610010K14Rik/Epop/Ezh1/Hcfc1/Kat8/Kdm4b/Kdm6b/Kmt2b/Kmt2d/Mcrs1/Men1/Pagr1a/Pelp1/Phf1/Prpf31/Ruvbl2/Senp3/Setd1a";18
"SF3A66";"SF3A66";"GO:0005844";"polysome";"17/2606";"74/23271";0.00288310333811336;0.0416896742691192;0.0344758462325977;"Abcf1/Calr/Eef2/Fus/Fxr2/Mcrs1/Naa38/Rpl10a/Rpl18/Rpl18a/Rpl19/Rpl6/Rpl7a/Rps26/Rps28/Unk/Ybx2";17
"SF3A66";"SF3A66";"GO:0005874";"microtubule";"67/2606";"430/23271";0.0032948522979008;0.0467093766937702;0.0386269577958237;"Apc2/Apoe/Arhgap4/Atat1/Axin1/Baiap2/BC024139/Camsap1/Cdk2ap2/Clip3/Csnk1d/Cyp2a5/Daxx/Dctn2/Dcxr/Dnah2/Dnm1/Dpp9/Dvl1/Emd/Eml2/Eml3/Fsd1/Gabarap/Golga2/Gsk3a/Haus5/Haus8/Hdac6/Hid1/Hook2/Kif18b/Kif1c/Kif22/Kif5a/Kifc1/Kifc2/Kifc5b/Klc2/Klc3/Klc4/Map1s/Map2k2/Map3k11/Misp/Nckap5l/Odf2/Odf3l2/Saa1/Saa2/Sirt2/Slc8a2/Spaca9/Tbcb/Tpgs1/Ttll10/Ttll8/Tuba1a/Tuba1b/Tuba1c/Tubb4a/Tubb4b/Tubb5/Tubg1/Tubg2/Tubgcp2/Tubgcp6";67
