sep=;
"Cluster";"MLI2.PLI";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0031225";"anchored component of membrane";"42/2516";"198/23271";1.41629426272317e-05;0.000925741431725417;0.000727799061322815;"Alpl/Bcan/Bst2/Dlg4/Efna1/Efna2/Efna3/Efna4/Flot2/Folr1/Folr2/Gp1ba/Ly6a/Ly6c1/Ly6c2/Ly6d/Ly6e/Ly6f/Ly6g/Ly6g6c/Ly6g6d/Ly6g6g/Ly6i/Ly6k/Ly6m/Lynx1/Lypd2/Lypd4/Mill2/Mpp2/Msln/Plaur/Prss8/Psca/Rab26/Rab3a/Rhbg/Rtbdn/Slurp2/Spaca4/Sprn/Treh";42
"SF3A66";"SF3A66";"GO:0097525";"spliceosomal snRNP complex";"17/2516";"55/23271";4.32056981262262e-05;0.00238960745790435;0.00187866072014441;"Cd2bp2/Ddx23/Ddx39b/Eftud2/Lsm2/Lsm4/Lsm7/Luc7l/Prpf3/Prpf31/Prpf40b/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpc/Snrpd2";17
"SF3A66";"SF3A66";"GO:0120114";"Sm-like protein family complex";"19/2516";"72/23271";0.000170700628227003;0.00818225011301433;0.00643271841108073;"Cd2bp2/Ddx23/Ddx39b/Eftud2/Gemin4/Gemin7/Lsm2/Lsm4/Lsm7/Luc7l/Prpf3/Prpf31/Prpf40b/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpc/Snrpd2";19
"SF3A66";"SF3A66";"GO:0030141";"secretory granule";"67/2516";"401/23271";0.000202399168984464;0.00886657173207027;0.00697071813208657;"Abca3/Acr/Akt2/Ap2a1/Arsa/Atp6v0a2/Baiap2/Bsg/Calr/Capzb/Cbarp/Cel/Cep131/Dbh/Dkkl1/Ece1/Elane/Flot2/Fstl3/Hgs/Hps4/Izumo1/Klk1/Klk15/Klk1b1/Klk1b11/Klk1b3/Klk1b4/Klk1b5/Klk1b8/Klk1b9/Klk4/Klk5/Klk6/Klk7/Klk8/Krtdap/Ly6k/Nos1/Notch1/Pcsk4/Pla2g1b/Pomt1/Ppfia3/Prkaca/Prss57/Prtn3/Rab26/Rab3a/Rph3al/Serpine1/Slc2a4/Stx4a/Stxbp1/Svs2/Sycn/Syt5/Tbxa2r/Tgfb1/Tmem95/Tnf/Tor1a/Tsks/Vamp2/Vgf/Zg16/Zpbp2";67
"SF3A66";"SF3A66";"GO:0098839";"postsynaptic density membrane";"23/2516";"97/23271";0.000216159742073973;0.00886657173207027;0.00697071813208657;"Arc/Cacng2/Cacng7/Cacng8/Clstn1/Cnih2/Dlg4/Efnb3/Grin1/Grin2d/Grin3b/Gsg1l/Hspb1/Lrfn1/Lrfn3/Lrfn4/Mpp2/Pacsin1/Prrt1/Ptprs/Scn8a/Scrib/Slc16a3";23
"SF3A66";"SF3A66";"GO:0030670";"phagocytic vesicle membrane";"10/2516";"26/23271";0.000221972588563651;0.00886657173207027;0.00697071813208657;"H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Rapgef1/Tap1/Tapbp";10
"SF3A66";"SF3A66";"GO:0035097";"histone methyltransferase complex";"20/2516";"80/23271";0.000257540372882022;0.00974586990011442;0.00766200444529894;"0610010K14Rik/Epop/Ezh1/Kat8/Kdm4b/Kdm6b/Kmt2b/Kmt2d/Mcrs1/Men1/Pagr1a/Pelp1/Phf1/Phf20/Prpf31/Ruvbl2/Senp3/Setd1a/Setd1b/Zfp335";20
"SF3A66";"SF3A66";"GO:0019866";"organelle inner membrane";"78/2516";"489/23271";0.000291502054972411;0.0104794988762582;0.00823876860632551;"Acadvl/Atad3a/Atp5b/Atp5d/Coa3/Coq4/Coq8b/Cox6a2/Cox6b1/Cox7a1/Cox8a/Cox8b/Crat/Cyc1/Cyp11b1/Cyp11b2/Cyp27a1/Cyp2b10/Dhrs13/Dmac2/Dusp18/Eci1/Endog/Eral1/Fahd1/Fpgs/Gcat/Gcdh/Gpx4/Lemd2/Majin/Micos10/Mpv17l2/Mrps21/Mtg1/Mtx1/Ndufa3/Ndufa7/Ndufaf3/Ndufb10/Ndufb4c/Ndufs7/Ndufv1/P2rx4/P2rx7/Parl/Pcx/Plscr3/Pmpca/Prodh2/Rcc1l/Rdh13/Rhot2/Sfxn2/Sirt3/Sirt4/Slc25a10/Slc25a11/Slc25a20/Slc25a25/Slc25a33/Slc25a39/Slc25a42/Slc25a45/Slc27a1/Sphk2/Spns1/Stat3/Sun2/Timm13/Timm50/Tm7sf2/Tmem120b/Tmem201/Tmem256/Tomm22/Tomm40/Tufm";78
"SF3A66";"SF3A66";"GO:0005797";"Golgi medial cisterna";"9/2516";"23/23271";0.000394678054957352;0.013513024834016;0.0106236649379498;"B3galt6/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7";9
"SF3A66";"SF3A66";"GO:0005881";"cytoplasmic microtubule";"20/2516";"88/23271";0.000962707790410025;0.0288411208877003;0.0226743019057098;"Apc2/Arfgef2/Arl3/Axin1/Bysl/Clip1/Cyp2a4/Cyp2a5/Dcxr/Enkd1/Kif18b/Misp/Numa1/Odf3l2/Ranbp10/Tuba1a/Tuba1b/Tuba1c/Tubg1/Tubg2";20
