sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0042611";"MHC protein complex";"18/2597";"23/23271";1.32158203088625e-13;9.59468554423421e-11;7.24783408517619e-11;"H2-Aa/H2-Ab1/H2-D1/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-K1/H2-Oa/H2-Ob/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23";18
"SF3A66";"SF3A66";"GO:0042824";"MHC class I peptide loading complex";"12/2597";"15/23271";1.19988751371958e-09;4.35559167480206e-07;3.29021786656789e-07;"Calr/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Tap1/Tap2/Tapbp";12
"SF3A66";"SF3A66";"GO:0005840";"ribosome";"57/2597";"234/23271";8.70842859315034e-09;2.10743971954238e-06;1.59196185860748e-06;"Abcf1/Aurkaip1/Dap3/Eef2/Gadd45gip1/Isg15/Larp4/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl20/Mrpl24/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl49/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps21/Mrps34/Mrps7/Ndufa7/Nufip2/Rpl13a/Rpl18/Rpl19/Rpl22/Rpl23a/Rpl26/Rpl27/Rpl36/Rpl37rt/Rpl3l/Rpl41/Rpl6/Rpl7a/Rpl7l1/Rpl8/Rplp0/Rps10/Rps11/Rps15/Rps16/Rps18/Rps19/Rps2/Rps26/Rps28/Rps9/Uba52";57
"SF3A66";"SF3A66";"GO:0030141";"secretory granule";"82/2597";"401/23271";3.75123072728436e-08;6.80848377002111e-06;5.14313476030303e-06;"Abca3/Acr/Akt2/Ap2a1/Arsa/Atp8b3/Baiap2/Bsg/Calr/Capn11/Capzb/Cbarp/Cel/Cep131/Dbh/Dkkl1/Dynll1/Ece1/Elane/Flot2/Fstl3/Hgs/Itpr3/Izumo1/Kcnj11/Klk1/Klk15/Klk1b1/Klk1b11/Klk1b16/Klk1b21/Klk1b22/Klk1b24/Klk1b26/Klk1b27/Klk1b3/Klk1b4/Klk1b5/Klk1b8/Klk1b9/Klk4/Klk5/Klk6/Klk7/Klk8/Krtdap/Lrp1/Ly6k/Lyzl6/Napsa/Ncs1/Notch1/Nudt1/Pcsk4/Pla2g1b/Pomt1/Ppfia3/Prkaca/Prss57/Prtn3/Rab26/Rab4b/Serpine1/Slc2a4/Stx4a/Stxbp1/Sycn/Syt5/Tbxa2r/Tcirg1/Tgfb1/Tmem184a/Tmem95/Tnf/Tor1a/Tsks/Unc13d/Vamp2/Vegfa/Vgf/Zg16/Zpbp2";82
"SF3A66";"SF3A66";"GO:0031300";"intrinsic component of organelle membrane";"81/2597";"403/23271";9.84243806509267e-08;1.19093500587621e-05;8.99633374019874e-06;"Abhd17a/Afg3l1/Aqp2/Atf6b/Atp13a2/Atp6v0a1/Atp6v1g2/Bak1/Calr/Cln3/Coa3/Cpt1c/Dmpk/Dolk/Dolpp1/Dpm2/Emc1/Emc10/Ergic1/Esyt1/Fkbp8/Gfy/Gpaa1/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23/H2-T3/Itpr3/Lemd2/Majin/Micos10/Micos13/Mul1/Mymk/Nfe2l1/Pcsk4/Pex10/Pgap3/Pigs/Pink1/Ptprs/Qsox2/Rab11b/Rab26/Rab4b/Rab5b/Rce1/Rdh16/Rdh16f2/Rdh19/Rer1/Rfng/Rhot2/Sco2/Slc17a7/Slc25a19/Slc35b2/Slc37a4/Slc8a2/Sppl2b/Sppl3/Sv2a/Syne4/Syt11/Syt5/Tap1/Tap2/Tapbp/Tm7sf2/Tomm40/Ubiad1/Vamp2/Yif1a/Yif1b";81
"SF3A66";"SF3A66";"GO:0098576";"lumenal side of membrane";"11/2597";"20/23271";2.10136330549506e-06;0.000169509973309935;0.000128047986217886;"Aqp2/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Nucb1/Sppl2b/Sppl3";11
"SF3A66";"SF3A66";"GO:0005844";"polysome";"22/2597";"74/23271";1.15468117220442e-05;0.000753679546774404;0.000569330207147259;"Abcf1/Atxn2/Calr/Eef2/Fus/Fxr2/Gcn1/Larp4/Mcrs1/Msi1/Myh10/Naa38/Nufip2/Rpl18/Rpl19/Rpl6/Rpl7a/Rpl8/Rps26/Rps28/Unk/Ybx2";22
"SF3A66";"SF3A66";"GO:0097525";"spliceosomal snRNP complex";"18/2597";"55/23271";1.66357521007849e-05;0.000805170401677991;0.000608226445228698;"Cd2bp2/Ddx23/Ddx39b/Eftud2/Lsm2/Lsm7/Luc7l/Prpf3/Prpf31/Prpf40b/Prpf6/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpa/Snrpc/Snrpd2";18
"SF3A66";"SF3A66";"GO:0030670";"phagocytic vesicle membrane";"11/2597";"26/23271";5.10458197327381e-05;0.00205884806255377;0.00155525567723723;"H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Rapgef1/Tap1/Tapbp/Tcirg1";11
"SF3A66";"SF3A66";"GO:0034364";"high-density lipoprotein particle";"11/2597";"26/23271";5.10458197327381e-05;0.00205884806255377;0.00155525567723723;"Apoc1/Apoc2/Apoc4/Apoe/Apof/Apom/Pltp/Saa1/Saa2/Saa3/Saa4";11
