paint name,start,ATRX,H4K8ac,HDAC2,H3K9ac,H3K9me3,H3K9me2,RNAPIISer2-P,H3,H3K36me2,UBTF,LaminB1,RNAPIISer5-P,RYBP,HP1beta,RING1B,H2A.X,H3K4me1,H4K20me2,H3K27me2,JARID2,SF3A66,CBP,H2AK119u1,EZH2,H3K4me2,BRG1,HP1alpha,Fibrillarin,KAP1,H3K27ac,H3K4me3,H3K36ac,H3K14ac,H4K20me1,HP1gamma,H4K20me3,H3K27me3,mH2A1,CHD4,KAT3B/p300,H3K56ac,H3K36me3,SUZ12,H4K16ac,HDAC1,SOX2,BRD4,CPSF6,rDNA,Telomere,MinSat,MajSat,Malat1_RNA,ITS1_RNA,Rnu2_RNA,polyA_RNA,n_rad_score,n_per_dist(um)
1507,36075000,0.42468,0.59851,0.53393,0.54662,0.3340599999999999,0.22804,0.27962,-0.050819,-0.008325,0.2383199999999999,0.16756,0.60687,0.4855899999999999,0.092427,0.1227099999999999,0.38873,0.54609,0.47681,0.48704,0.43583,-0.02571,0.38178,0.42681,0.027298,0.66655,0.39491,0.50818,-0.015501,0.52691,0.4253399999999999,0.64359,0.43858,0.50088,0.43618,0.22429,0.56533,-0.038152,0.25837,0.45056,0.21902,0.52103,0.019986,-0.32228,0.57245,0.40369,0.3385599999999999,-0.11865,0.39726,-0.17607,-0.16787,-0.1658,-0.24966,0.1507,-0.16224,0.094962,0.1098,0.7110815567314185,1.1720837935536994
1508,37575000,0.73698,1.0495,0.90744,0.84046,0.43818,0.32416,0.45574,-0.10543,0.01491,0.5857,0.1084,0.9652,0.80685,0.22152,0.15377,0.6180399999999999,0.84882,0.6998800000000001,0.74497,0.7196,0.10559,0.76213,0.74422,0.088956,1.1071,0.78681,0.8477600000000001,0.17676,0.91875,0.85196,0.82862,0.82595,0.7347899999999999,0.757,0.4140899999999999,0.71108,0.10145,0.54033,0.8854299999999999,0.5613600000000001,0.76877,0.19196,-0.38819,0.85019,0.70262,0.67133,-0.099046,0.7528100000000001,-0.17397,-0.19755,-0.17081,-0.2680099999999999,0.49654,-0.15871,0.50571,0.1875,0.6765124762470623,1.3543770931243428
1509,39075000,0.58645,1.02365,0.7999,0.6438250000000001,0.52616,0.5096700000000001,0.2571699999999999,-0.0848909999999999,-0.019996,0.3343399999999999,0.0403085,0.884745,0.60871,0.163665,0.10658,0.6734,0.8500349999999999,0.678625,0.99282,0.5416050000000001,0.0153275,0.60028,0.763235,-0.0372975,0.95536,0.601165,0.78138,0.113905,0.78225,0.723815,0.60973,0.7271449999999999,0.82014,0.6553,0.2105949999999999,0.78521,0.205225,0.741865,0.7761549999999999,0.46552,0.67837,0.1302799999999999,-0.465055,0.88961,0.63812,0.6279,-0.1800549999999999,0.57081,-0.1821499999999999,-0.20144,-0.17908,-0.29766,0.38384,-0.164445,0.38173,0.0847894999999999,0.667967012669298,1.3947427429406432
1510,40575000,0.4397899999999999,0.71021,0.46033,0.45598,0.58995,0.5359,0.086753,-0.16186,-0.03565,0.094328,-0.001008,0.56591,0.32784,0.00817,-0.015015,0.6181399999999999,0.6297699999999999,0.56153,0.96315,0.31154,-0.04583,0.32649,0.5535399999999999,-0.046524,0.60652,0.3446,0.5806600000000001,-0.098156,0.5235,0.44341,0.34654,0.51323,0.6420399999999999,0.3578199999999999,0.044786,0.85716,0.19676,0.73931,0.4563899999999999,0.19427,0.54238,-0.023474,-0.41128,0.79719,0.35094,0.35183,-0.1652799999999999,0.28104,-0.17926,-0.18323,-0.1791599999999999,-0.2736099999999999,0.18953,-0.16344,0.18301,-0.003123,0.6884517587487384,1.303407591304464
1511,42075000,0.616125,1.0539,0.7887550000000001,0.6853899999999999,0.54752,0.5073099999999999,0.2682899999999999,-0.13308,-0.00886,0.372205,0.072862,0.99328,0.63795,0.0733355,0.0113964999999999,0.627945,0.8440700000000001,0.63653,0.8548850000000001,0.496155,0.0357945,0.61953,0.6825899999999999,0.0084549999999999,0.921145,0.68787,0.69604,0.0500629999999999,0.7758,0.85848,0.606685,0.75907,0.7595350000000001,0.61921,0.2016399999999999,0.703395,0.199155,0.6618,0.793005,0.4234849999999999,0.70327,0.106815,-0.48,0.877645,0.637325,0.626935,-0.2089,0.6324700000000001,-0.19552,-0.1868249999999999,-0.1890199999999999,-0.302705,0.39721,-0.160995,0.40703,0.10879,0.6708391596323784,1.326885814756722
1512,43575000,0.53263,0.8353299999999999,0.63878,0.58911,0.57894,0.52145,0.23043,-0.0590179999999999,0.035795,0.27002,0.14653,0.8625700000000001,0.50217,0.065782,0.11168,0.52179,0.7268399999999999,0.56429,0.7984899999999999,0.4529,0.010292,0.45875,0.6300399999999999,0.031782,0.8698299999999999,0.56606,0.5928899999999999,0.007147,0.65052,0.71228,0.50659,0.6203,0.64984,0.59549,0.1883,0.7077399999999999,0.1035,0.5078,0.6301399999999999,0.37314,0.61717,0.13292,-0.37071,0.7999,0.48866,0.49915,-0.099046,0.4443,-0.18733,-0.18807,-0.17839,-0.28412,0.21806,-0.15538,0.24161,0.13913,0.6827951993453002,1.3227939871596766
1513,45075000,0.4879199999999999,0.7568199999999999,0.52346,0.45855,0.4954199999999999,0.40675,0.17049,-0.076041,0.0106489999999999,0.16274,0.089183,0.76654,0.45806,0.052844,0.0934779999999999,0.43973,0.6161800000000001,0.4894699999999999,0.71037,0.36834,-0.060334,0.40247,0.47238,-0.008694,0.64491,0.44501,0.53889,-0.013284,0.5554399999999999,0.67074,0.41956,0.55661,0.59236,0.4163,0.15332,0.6698,0.025512,0.46088,0.5361100000000001,0.23044,0.52287,0.069619,-0.37751,0.65976,0.38435,0.41445,-0.14257,0.36172,-0.18642,-0.18437,-0.18449,-0.2868199999999999,0.1484,-0.15784,0.13484,0.032314,0.7188158240123996,1.165868593586445
1514,46575000,0.31261,0.55053,0.35359,0.30593,0.57812,0.4914699999999999,0.11524,-0.1472,-0.016178,0.099341,0.1169099999999999,0.4148,0.23256,-0.071506,-0.0140629999999999,0.46324,0.50267,0.52617,0.8834700000000001,0.26654,-0.11847,0.16647,0.4600399999999999,-0.03196,0.44993,0.1598099999999999,0.47398,-0.051006,0.38493,0.2942099999999999,0.27636,0.4214699999999999,0.6279600000000001,0.23508,0.1074,0.7387199999999999,0.044896,0.5068600000000001,0.30782,0.18958,0.521,-0.020718,-0.34573,0.67251,0.18169,0.18797,-0.16583,0.14015,-0.17679,-0.18606,-0.18122,-0.26938,0.11465,-0.1495,0.044509,-0.048218,0.7264163915451063,1.1552255141859664
1515,48075000,0.22682,0.31068,0.20909,0.11479,0.5486,0.4585,0.007343,-0.1234599999999999,0.01491,-0.039414,0.14037,0.2265199999999999,0.1127099999999999,-0.070312,0.028431,0.3881199999999999,0.37568,0.39359,0.7400399999999999,0.14052,-0.1605599999999999,0.0532659999999999,0.34491,0.024256,0.26927,0.07368,0.34542,-0.086022,0.25644,0.11023,0.1019299999999999,0.2360699999999999,0.47265,0.1822,0.037482,0.66204,-0.020681,0.35514,0.12745,0.12642,0.38474,-0.0128539999999999,-0.24231,0.60025,0.056746,0.058812,-0.096525,0.042171,-0.17527,-0.16776,-0.18195,-0.25423,-0.14338,-0.15994,-0.18693,-0.083865,0.7407835928884904,1.069020599460515
1516,49575000,0.0020314999999999,0.0888574999999999,-0.000869,-0.0581215,0.43422,0.344665,-0.0866484999999999,-0.0448199999999999,0.045307,-0.0210119999999999,0.2540599999999999,-0.0300075,0.0301139999999999,-0.0644105,0.1854249999999999,0.232815,0.152865,0.276625,0.46845,0.0512199999999999,-0.2143649999999999,-0.0875239999999999,0.1859799999999999,0.0480465,-0.016085,-0.072282,0.160835,-0.0257339999999999,0.0090705,0.0362305,-0.007041,0.060213,0.28115,0.18567,0.05389,0.4083349999999999,-0.13443,0.161875,-0.11809,-0.0660689999999999,0.2393,0.0320675,-0.0780474999999999,0.31316,-0.121935,-0.0896185,-0.0675554999999999,-0.0570684999999999,-0.181365,-0.19735,-0.193065,-0.28611,-0.344755,-0.16187,-0.3419999999999999,-0.14905,0.8001861094481364,0.8150215713397071
1517,51100000,-0.0145549999999999,0.0223274999999999,-0.1102899999999999,-0.1174549999999999,0.42233,0.3189849999999999,-0.12087,-0.0700405,0.024528,-0.2124249999999999,0.1866749999999999,-0.1146899999999999,-0.112145,-0.1453749999999999,0.0584004999999999,0.23429,0.11835,0.193935,0.44872,-0.0448569999999999,-0.28553,-0.191425,0.0908539999999999,0.034946,-0.084641,-0.2084349999999999,0.0981715,-0.1236749999999999,-0.0551684999999999,-0.065617,-0.1227449999999999,0.0372034999999999,0.24555,0.0151785,-0.0515355,0.345365,-0.17208,0.066462,-0.1790499999999999,-0.1366,0.1569849999999999,-0.0498894999999999,-0.1193349999999999,0.3095949999999999,-0.20473,-0.2295299999999999,-0.1172399999999999,-0.196465,-0.17818,-0.183055,-0.189655,-0.2766799999999999,-0.3833499999999999,-0.16263,-0.3798,-0.16612,0.8031467518954996,0.8020335218873862
1518,52600000,0.54861,0.86346,0.61433,0.48372,0.50008,0.4469899999999999,0.1657,-0.12287,0.013225,0.2128699999999999,0.14852,0.7043,0.48283,0.1059099999999999,0.22029,0.55792,0.72752,0.5559,0.82357,0.42903,-0.087389,0.47033,0.60067,0.023813,0.75748,0.50097,0.6391399999999999,0.016106,0.62087,0.63798,0.45201,0.59972,0.7025,0.4588899999999999,0.16295,0.65574,0.14436,0.61182,0.59904,0.34145,0.55175,0.05796,-0.31715,0.70272,0.4071099999999999,0.52336,-0.12169,0.4305,-0.16746,-0.19107,-0.18791,-0.28244,0.15265,-0.15672,0.12048,0.021271,0.7083284096871891,1.1899506965137756
1519,54100000,0.64975,1.2451,0.81875,0.73798,0.48772,0.47173,0.2407099999999999,-0.1216599999999999,0.0627559999999999,0.36619,0.1437,0.94882,0.68207,0.16024,0.13268,0.68397,0.91726,0.61808,0.94843,0.56824,0.035695,0.66123,0.6897399999999999,0.062679,1.1016,0.67525,0.75203,0.13874,0.82965,0.99604,0.6432899999999999,0.91844,0.79459,0.6210899999999999,0.30801,0.71558,0.1708599999999999,0.82181,0.8310299999999999,0.42728,0.6620699999999999,0.11538,-0.4097399999999999,0.80371,0.64951,0.67714,-0.1297299999999999,0.60987,-0.18614,-0.2016599999999999,-0.19497,-0.31369,0.34919,-0.15409,0.30517,0.02725,0.6762817931753274,1.3566851778007192
1520,55600000,0.64363,1.1266500000000002,0.8166899999999999,0.7195499999999999,0.55072,0.480695,0.341385,-0.091528,0.0836445,0.348555,0.1667499999999999,0.8849899999999999,0.65894,0.0945945,0.1653,0.76105,0.91064,0.7502199999999999,1.03345,0.600365,0.08491,0.63135,0.785015,0.0721275,1.0939,0.65393,0.7467949999999999,0.019981,0.834565,0.94083,0.654755,0.87218,0.865685,0.64245,0.2827599999999999,0.7329950000000001,0.254615,0.8760650000000001,0.817245,0.5139400000000001,0.7559549999999999,0.1785399999999999,-0.404775,0.897575,0.629855,0.64964,-0.17104,0.605575,-0.170765,-0.191485,-0.19153,-0.301865,0.3735,-0.150015,0.4053799999999999,0.156675,0.673095252479299,1.326379627208537
1521,57100000,0.3328,0.65636,0.41836,0.42711,0.41476,0.37183,0.11605,-0.080595,0.014858,0.18861,0.19049,0.5088600000000001,0.34265,0.0677659999999999,0.14552,0.6987899999999999,0.62263,0.5112899999999999,0.7411,0.42188,-0.021297,0.32864,0.5149699999999999,0.11629,0.59128,0.30915,0.52891,0.014609,0.47229,0.4572,0.40253,0.48102,0.69717,0.37574,0.13968,0.5938,0.091834,0.50241,0.42106,0.28557,0.5334399999999999,0.036282,-0.30833,0.67411,0.36898,0.30953,-0.10828,0.30891,-0.1853,-0.19545,-0.1909799999999999,-0.31717,0.065052,-0.15969,0.014448,-0.004702,0.7151281326182922,1.140436952025853
1522,58600000,0.12276,0.24263,0.12544,0.119,0.40543,0.32219,0.006704,-0.12218,0.044327,-0.017061,0.17632,0.092154,0.055275,-0.11266,0.049393,0.48552,0.32513,0.39343,0.60136,0.1311,-0.15484,-0.024856,0.30914,0.047174,0.15984,0.008812,0.32379,-0.157,0.1771599999999999,0.10049,0.047737,0.21538,0.45345,0.10271,-0.002676,0.50541,-0.01603,0.29108,0.061523,0.095278,0.32946,-0.05022,-0.22769,0.5128,0.049807,0.026085,-0.12182,-0.0135729999999999,-0.1875099999999999,-0.17274,-0.19313,-0.30373,-0.14569,-0.15944,-0.17355,-0.10215,0.7496075617443786,0.999594325614571
1523,60100000,0.566295,0.96869,0.789855,0.740815,0.34037,0.3768249999999999,0.3646349999999999,-0.12177,0.11306,0.39783,0.0967794999999999,0.871535,0.648065,0.105555,0.13194,0.6692750000000001,0.80581,0.705475,0.787685,0.612615,0.0616405,0.65168,0.6733499999999999,0.0576519999999999,0.955795,0.634095,0.7100850000000001,0.0273354999999999,0.796235,0.7590600000000001,0.698965,0.701245,0.827345,0.63148,0.2332949999999999,0.54226,0.253515,0.7136549999999999,0.743455,0.4948249999999999,0.665745,0.0325474999999999,-0.40519,0.77091,0.593735,0.59887,-0.1190599999999999,0.56777,-0.19322,-0.194735,-0.175455,-0.30099,0.381555,-0.1580949999999999,0.3851,0.13805,0.6629319702908127,1.3364959668252825
