paint name,start,ATRX,H4K8ac,HDAC2,H3K9ac,H3K9me3,H3K9me2,RNAPIISer2-P,H3,H3K36me2,UBTF,LaminB1,RNAPIISer5-P,RYBP,HP1beta,RING1B,H2A.X,H3K4me1,H4K20me2,H3K27me2,JARID2,SF3A66,CBP,H2AK119u1,EZH2,H3K4me2,BRG1,HP1alpha,Fibrillarin,KAP1,H3K27ac,H3K4me3,H3K36ac,H3K14ac,H4K20me1,HP1gamma,H4K20me3,H3K27me3,mH2A1,CHD4,KAT3B/p300,H3K56ac,H3K36me3,SUZ12,H4K16ac,HDAC1,SOX2,BRD4,CPSF6,rDNA,Telomere,MinSat,MajSat,Malat1_RNA,ITS1_RNA,Rnu2_RNA,polyA_RNA,n_rad_score,n_per_dist(um)
1267,85225000,-0.23976,-0.6197199999999999,-0.45442,-0.50977,0.39776,0.4046099999999999,-0.36735,-0.26994,0.05977,-0.54483,0.27704,-0.65189,-0.47562,-0.38742,0.089473,0.19634,-0.16262,0.18689,0.3023699999999999,-0.26496,-0.2247199999999999,-0.52458,0.067785,0.035833,-0.64852,-0.58853,0.16039,-0.40908,-0.090619,-0.57085,-0.58505,-0.42396,0.31818,-0.57712,-0.25261,0.19893,-0.1428,-0.14317,-0.47865,-0.3255099999999999,-0.054523,-0.13322,-0.022345,0.11657,-0.22274,-0.009889,-0.1594799999999999,-0.6287,-0.25539,-0.2784,-0.25181,-0.306,-0.54846,-0.2019,-0.56645,-0.3047,0.8069245531529536,0.8132557225979666
1268,86725000,-0.2247199999999999,-0.682,-0.47039,-0.5022300000000001,0.43446,0.43909,-0.34642,-0.25667,0.11765,-0.5672,0.30855,-0.68857,-0.50737,-0.36754,0.13601,0.20263,-0.17272,0.2074599999999999,0.29236,-0.2555199999999999,-0.23019,-0.54374,0.077455,0.088649,-0.69757,-0.6218199999999999,0.18338,-0.41398,-0.081993,-0.59228,-0.61022,-0.4763699999999999,0.32932,-0.6048600000000001,-0.2586,0.20031,-0.19093,-0.22146,-0.51513,-0.32274,-0.061041,-0.15345,-0.009479,0.12451,-0.23768,-0.013084,-0.1427,-0.6664,-0.25196,-0.2796,-0.24352,-0.25994,-0.58932,-0.18614,-0.57244,-0.33392,0.7964021440878074,0.8282945154554291
1269,88225000,-0.258375,-0.81908,-0.61788,-0.61312,0.4981649999999999,0.43511,-0.4372749999999999,-0.2659049999999999,0.14429,-0.66491,0.47056,-0.8428,-0.599755,-0.4499849999999999,0.142825,0.102555,-0.30029,0.0886484999999999,0.101625,-0.41686,-0.2817299999999999,-0.671255,-0.0388944999999999,0.0794764999999999,-0.852495,-0.710735,0.1048649999999999,-0.461395,-0.2242549999999999,-0.67635,-0.77942,-0.603175,0.2262799999999999,-0.69787,-0.26294,0.0884939999999999,-0.39324,-0.465655,-0.64188,-0.4388899999999999,-0.1512399999999999,-0.164725,0.16042,0.0036229999999999,-0.31191,0.0108535,-0.0995955,-0.7659799999999999,-0.25894,-0.28599,-0.25936,-0.23281,-0.6692,-0.1908949999999999,-0.658005,-0.36842,0.8219634929489961,0.7257450800951517
1270,89725000,-0.23811,-0.591545,-0.501315,-0.540065,0.48568,0.351765,-0.38593,-0.208865,0.0693769999999999,-0.5476700000000001,0.37785,-0.69554,-0.4694049999999999,-0.34187,0.1647249999999999,0.1033899999999999,-0.1743,0.0523465,0.215965,-0.3481849999999999,-0.26718,-0.562975,0.0056275,0.082786,-0.67677,-0.57691,0.073182,-0.3868899999999999,-0.1831699999999999,-0.52664,-0.6395150000000001,-0.42976,0.24385,-0.542075,-0.220245,0.15558,-0.34541,-0.2458,-0.4849,-0.33634,-0.107875,-0.099029,0.108345,0.050116,-0.23444,0.011402,-0.089312,-0.610035,-0.259795,-0.301985,-0.282155,-0.344025,-0.60254,-0.1972,-0.602365,-0.319685,0.8172478655722653,0.7625844537482318
1271,91225000,-0.141485,-0.370285,-0.3478199999999999,-0.435,0.580505,0.3846249999999999,-0.3129749999999999,-0.1728649999999999,0.0941855,-0.4239649999999999,0.383,-0.5408900000000001,-0.35614,-0.244045,0.18293,0.1372999999999999,-0.058084,0.1240499999999999,0.356475,-0.261865,-0.243775,-0.44182,0.0864549999999999,0.118335,-0.4840599999999999,-0.464605,0.14261,-0.31916,-0.063365,-0.42313,-0.483085,-0.2066749999999999,0.3206799999999999,-0.44576,-0.1272899999999999,0.257385,-0.264395,-0.0530324999999999,-0.32697,-0.250895,-0.0199799999999999,-0.088183,0.0337335,0.1704,-0.1646,-0.01447,-0.110535,-0.485245,-0.256815,-0.29173,-0.27622,-0.36612,-0.539755,-0.196165,-0.5366850000000001,-0.25698,0.8093264426074951,0.7944965517859086
1272,92725000,0.093444,-0.01365,-0.060459,-0.21309,0.55045,0.37506,-0.1728599999999999,-0.035675,0.10864,-0.19805,0.28259,-0.22323,-0.035528,-0.043662,0.27726,0.21165,0.18237,0.23325,0.47489,-0.056692,-0.16397,-0.1483,0.23699,0.11934,-0.11875,-0.17832,0.25821,-0.12842,0.13851,-0.21033,-0.19959,0.16877,0.4331899999999999,-0.15012,0.003597,0.31988,-0.16029,0.076133,-0.031206,-0.051168,0.1461299999999999,0.032217,-0.028651,0.31005,0.010091,0.016262,-0.075582,-0.15722,-0.25983,-0.29993,-0.27654,-0.39388,-0.41014,-0.19053,-0.38728,-0.14655,0.7938730019030397,0.8639237806260391
1273,94225000,-0.25376,-0.78589,-0.5945600000000001,-0.55395,0.4481199999999999,0.38333,-0.4327,-0.28048,0.082605,-0.64575,0.40796,-0.8137300000000001,-0.5745899999999999,-0.45414,0.1091099999999999,0.047051,-0.32075,0.0183419999999999,0.094628,-0.42017,-0.29181,-0.6462,-0.088466,0.062797,-0.82285,-0.69438,0.00301,-0.4659399999999999,-0.26008,-0.64754,-0.75342,-0.61551,0.16747,-0.6481100000000001,-0.27337,0.086671,-0.342,-0.41306,-0.62917,-0.41648,-0.18977,-0.15617,0.11657,-0.024733,-0.32254,-0.008158,-0.11757,-0.74211,-0.25484,-0.28351,-0.256,-0.18511,-0.64592,-0.20464,-0.63042,-0.36809,0.8230576506865647,0.7311323292560878
1274,95725000,-0.26285,-0.84298,-0.64769,-0.59625,0.4200899999999999,0.3930599999999999,-0.45719,-0.29564,0.10654,-0.682,0.43772,-0.86475,-0.60507,-0.47572,0.045314,0.056627,-0.3371699999999999,0.028404,0.055724,-0.45508,-0.29601,-0.69371,-0.1042599999999999,0.12924,-0.86605,-0.73112,0.0171139999999999,-0.4889199999999999,-0.2822699999999999,-0.6793600000000001,-0.79673,-0.67733,0.18466,-0.67667,-0.30399,0.06447,-0.38981,-0.48305,-0.65985,-0.45461,-0.20332,-0.16788,0.1194099999999999,-0.045112,-0.36301,-0.0166,-0.12063,-0.77746,-0.25564,-0.27857,-0.24158,-0.12537,-0.67377,-0.20197,-0.65997,-0.35217,0.8226770986203558,0.7238366297877854
1275,97225000,-0.25513,-0.83078,-0.63562,-0.57497,0.41726,0.33499,-0.43458,-0.23485,0.093568,-0.6564300000000001,0.47521,-0.84116,-0.58013,-0.45014,0.14779,0.063499,-0.29915,0.049566,0.06262,-0.4406199999999999,-0.28999,-0.68619,-0.10115,0.099544,-0.8312299999999999,-0.7079,0.02783,-0.45619,-0.25863,-0.6744600000000001,-0.7713399999999999,-0.61228,0.19931,-0.6745,-0.28241,0.060519,-0.37653,-0.47976,-0.6451100000000001,-0.44576,-0.20078,-0.1575599999999999,0.162,-0.051112,-0.30977,0.02274,-0.092211,-0.75045,-0.2570199999999999,-0.28486,-0.25864,-0.2163,-0.6612,-0.19987,-0.64973,-0.36581,0.826543840391846,0.7206737224197379
1276,98725000,-0.20397,-0.5818,-0.41681,-0.42932,0.37655,0.38781,-0.33812,-0.23298,0.053847,-0.49536,0.21844,-0.5889,-0.44526,-0.34429,0.14321,0.2822199999999999,-0.10252,0.18946,0.3169099999999999,-0.21035,-0.22,-0.50516,0.053863,0.04161,-0.60395,-0.55755,0.18975,-0.36965,-0.054616,-0.51973,-0.5186,-0.40805,0.33762,-0.52304,-0.22475,0.18512,-0.12908,-0.17911,-0.4374,-0.2811,-0.019027,-0.1159,-0.042482,0.1347799999999999,-0.19732,-0.014034,-0.15715,-0.5764699999999999,-0.25703,-0.27918,-0.24813,-0.3129,-0.54419,-0.20163,-0.54583,-0.3176,0.7981451414563381,0.8489181897752642
